;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
1640;17110;Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart; 105 ; 27 ; 358 ; 138 ;10,0;9,4
1650;17115;Medicin, Odense M, Studiestart: sommer- og vinterstart; 313 ; 53 ; 2.588 ; 665 ;10,3;10,0
1660;17117;Medicin, Odense M, Studiestart: sommerstart; 30 ; 8 ; 1.301 ; 63 ;10,3;9,9
1670;17120;Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart; 34 ;; 104 ; 21 ;Alle optaget;
1680;17200;Psykologi, Odense M, Studiestart: sommerstart; 137 ; 27 ; 1.745 ; 462 ;10,5;10,1
1690;17210;Dansk, Odense M, Studiestart: sommerstart; 36 ;; 135 ; 29 ;Alle optaget;
1700;17215;Engelsk, Odense M, Studiestart: sommerstart; 55 ;; 198 ; 53 ;Alle optaget;
1710;17217;Amerikanske Studier, Odense M, Studiestart: sommerstart; 28 ;; 123 ; 29 ;Alle optaget;
1720;17220;Filosofi, Odense M, Studiestart: sommerstart; 31 ;; 133 ; 30 ;Alle optaget;
1730;17230;Oldtidskundskab, Odense M, Studiestart: sommerstart; 16 ;; 52 ; 14 ;Alle optaget;
1740;17235;Historie, Odense M, Studiestart: sommerstart; 80 ;; 256 ; 75 ;Alle optaget;
1750;17238;Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart; 21 ;; 80 ; 17 ;Alle optaget;
1760;17240;Litteraturvidenskab, Odense M, Studiestart: sommerstart; 44 ;; 119 ; 36 ;Alle optaget;
1770;17245;Audiologi, Odense M, Studiestart: sommerstart; 38 ;; 118 ; 36 ;Alle optaget;
1780;17247;Audiologopædi, Odense M, Studiestart: sommerstart; 60 ;; 165 ; 74 ;8,1;
1790;17250;Medievidenskab, Odense M, Studiestart: sommerstart; 97 ;; 269 ; 86 ;7,6;
1800;17260;Religionsstudier, Odense M, Studiestart: sommerstart; 16 ;; 80 ; 20 ;Alle optaget;
1810;17270;Tysk, Odense M, Studiestart: sommerstart; 10 ;; 30 ; 9 ;Alle optaget;
1820;17310;International virksomhedskommunikation i 2 fremmedsprog, Odense M, Studiestart: sommerstart; 13 ;; 36 ; 9 ;Alle optaget;
1830;17312;International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart; 47 ;; 169 ; 50 ;Alle optaget;
1840;17316;International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart; 4 ;; 17 ; 5 ;Alle optaget;
1850;17410;Jura, Odense M, Studiestart: sommerstart; 180 ; 16 ; 1.057 ; 281 ;8,3;8,1
1860;17412;Samfundsfag, Odense M, Studiestart: sommerstart; 26 ;; 144 ; 23 ;Alle optaget;
1870;17415;Statskundskab, Odense M, Studiestart: sommerstart; 115 ;; 381 ; 60 ;Alle optaget;
1880;17420;Økonomi, Odense M, Studiestart: sommerstart; 45 ;; 153 ; 53 ;Alle optaget;
1890;17430;Market and Management Anthropology, Odense M, Study start: Summer start; 80 ;; 374 ; 137 ;Alle optaget;
1900;17510;Erhvervsøkonomi, HA, Odense M, Studiestart: sommerstart; 266 ;; 657 ; 245 ;Alle optaget;
1910;17520;Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart; 56 ; 5 ; 290 ; 56 ;7,3;7,1
1920;17530;Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart; 57 ;; 174 ; 55 ;Alle optaget;
1930;17610;Journalistik, Odense M, Studiestart: sommerstart; 108 ;; 393 ; 159 ;Kun kvote 2;
1940;17815;Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart; 61 ;; 165 ; 66 ;Alle optaget;
1950;17820;Diplomingeniør, elektronik, Odense M, Studiestart: sommerstart; 19 ;; 62 ; 23 ;Alle optaget;
1960;17823;Diplomingeniør, global ledelse og design af produktionsnetværk, GMM, Odense M, Studiestart: sommerstart; 34 ;; 75 ; 37 ;Alle optaget;
1970;17825;Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart; 31 ;; 92 ; 29 ;Alle optaget;
1980;17830;Diplomingeniør, softwareteknologi, Odense M, Studiestart: sommerstart; 55 ;; 168 ; 58 ;Alle optaget;
1990;17835;Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart; 37 ;; 95 ; 35 ;Alle optaget;
2000;17840;Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart; 33 ;; 92 ; 34 ;Alle optaget;
2010;17845;Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart; 39 ;; 93 ; 40 ;Alle optaget;
2020;17850;Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart; 9 ;; 42 ; 9 ;Alle optaget;
2030;17855;Diplomingeniør, robotteknologi, Odense M, Studiestart: sommerstart; 39 ;; 132 ; 43 ;Alle optaget;
2040;17860;Teknisk videnskab (civilingeniør) Sundheds- og velfærdsteknologi, Odense M, Studiestart: sommerstart; 28 ;; 79 ; 22 ;Alle optaget;
2050;17865;Teknisk videnskab (civilingeniør) Spiludvikling og læringsteknologi, Odense M, Studiestart: sommerstart; 45 ;; 114 ; 50 ;Alle optaget;
2060;17870;Teknisk videnskab (civilingeniør) Robotteknologi, Odense M, Studiestart: sommerstart; 49 ;; 130 ; 51 ;Alle optaget;
2070;17875;Teknisk videnskab (civilingeniør) Fysik og teknologi, Odense M, Studiestart: sommerstart; 15 ;; 52 ; 17 ;Alle optaget;
2080;17880;Teknisk videnskab (civilingeniør) Kemi og bioteknologi, Odense M, Studiestart: sommerstart; 14 ;; 65 ; 13 ;Alle optaget;
2090;17882;Teknisk videnskab (civilingeniør) Maskinteknik, Odense M, Studiestart: sommerstart; 11 ;; 47 ; 12 ;Alle optaget;
2100;17890;Bachelor of Science (BSc) in Engineering (Product Development and Innovation), Odense M, Study start: Summer start; 35 ;; 223 ; 67 ;Alle optaget;
2110;17892;Teknisk videnskab (civilingeniør) Software Engineering, Odense M, Studiestart: sommerstart; 61 ;; 171 ; 66 ;Alle optaget;
2120;17895;Teknisk videnskab (civilingeniør) Energisystemer, Odense M, Studiestart: sommerstart; 21 ;; 52 ; 20 ;Alle optaget;
